accNodesModel,accYears,techs,commodity,capType,value
AKL,1997,COAL,Elec,build,0.112
AKL,1997,COAL,Elec,total,0.112
AKL,1998,COAL,Elec,total,0.112
AKL,1999,COAL,Elec,total,0.112
AKL,2000,COAL,Elec,total,0.112
AKL,2003,BIO,Elec,total,0.0125
AKL,2003,COAL,Elec,total,0.112
AKL,2004,BIO,Elec,total,0.0125
AKL,2004,COAL,Elec,total,0.112
AKL,2005,BIO,Elec,total,0.0125
AKL,2005,COAL,Elec,total,0.112
AKL,2007,BIO,Elec,total,0.0125
AKL,2007,COAL,Elec,total,0.112
AKL,2008,BIO,Elec,total,0.0125
AKL,2008,COAL,Elec,total,0.112
AKL,2009,BIO,Elec,total,0.0125
AKL,2009,COAL,Elec,total,0.112
AKL,2010,BIO,Elec,total,0.0125
AKL,2010,COAL,Elec,total,0.112
AKL,2011,BIO,Elec,total,0.0125
AKL,2011,COAL,Elec,total,0.112
AKL,2013,BIO,Elec,total,0.0125
AKL,2013,COAL,Elec,total,0.112
AKL,2014,BIO,Elec,total,0.0125
AKL,2014,COAL,Elec,total,0.112
AKL,2015,BIO,Elec,total,0.0125
AKL,2015,COAL,Elec,total,0.112
AKL,2018,BIO,Elec,total,0.0125
AKL,2018,COAL,Elec,total,0.112
AKL,2020,BIO,Elec,total,0.0125
AKL,2020,BIO,Elec,upperLimit,100.0
AKL,2020,Battery,Elec,upperLimit,50.0
AKL,2020,Battery,Elec_battery,upperLimit,48.75
AKL,2020,CCGT,Elec,upperLimit,100.0
AKL,2020,COAL,Elec,total,0.112
AKL,2020,COAL,Elec,upperLimit,100.0
AKL,2020,DIE,Elec,upperLimit,100.0
AKL,2020,GT,Elec,upperLimit,100.0
AKL,2020,OCGT,Elec,upperLimit,100.0
AKL,2020,pv_central_fixed,Elec,upperLimit,180.66817
AKL,2020,pv_central_track_azimuth,Elec,upperLimit,180.66817
AKL,2020,pv_decentral,Elec,upperLimit,2.2025300000000003
AKL,2020,wind_offshore_floating,Elec,upperLimit,34.72203
AKL,2020,wind_offshore_foundation,Elec,upperLimit,12.56432
AKL,2020,wind_onshore,Elec,upperLimit,7.56917
AKL,2030,BIO,Elec,upperLimit,200.0
AKL,2030,CCGT,Elec,build,0.3692301704433255
AKL,2030,CCGT,Elec,total,0.3692301704433255
AKL,2030,CCGT,Elec,upperLimit,200.0
AKL,2030,COAL,Elec,decom,0.112
AKL,2030,COAL,Elec,upperLimit,200.0
AKL,2030,DIE,Elec,upperLimit,200.0
AKL,2030,GT,Elec,upperLimit,200.0
AKL,2030,OCGT,Elec,build,0.16929159055635384
AKL,2030,OCGT,Elec,total,0.16929159055635384
AKL,2030,OCGT,Elec,upperLimit,200.0
AKL,2030,pv_central_fixed,Elec,upperLimit,361.33634
AKL,2030,pv_central_track_azimuth,Elec,build,1.664418852005028
AKL,2030,pv_central_track_azimuth,Elec,total,1.664418852005028
AKL,2030,pv_central_track_azimuth,Elec,upperLimit,361.33634
AKL,2030,pv_decentral,Elec,upperLimit,4.405060000000001
AKL,2030,wind_offshore_floating,Elec,upperLimit,69.44406
AKL,2030,wind_offshore_foundation,Elec,upperLimit,25.12864
AKL,2030,wind_onshore,Elec,build,0.8384042283104322
AKL,2030,wind_onshore,Elec,total,0.8384042283104322
AKL,2030,wind_onshore,Elec,upperLimit,15.13834
AKL,2040,BIO,Elec,upperLimit,200.0
AKL,2040,CCGT,Elec,build,1.105614104683526
AKL,2040,CCGT,Elec,total,1.4748442751249948
AKL,2040,CCGT,Elec,upperLimit,200.0
AKL,2040,COAL,Elec,upperLimit,200.0
AKL,2040,DIE,Elec,upperLimit,200.0
AKL,2040,GT,Elec,upperLimit,200.0
AKL,2040,OCGT,Elec,build,0.7266992752713113
AKL,2040,OCGT,Elec,total,0.8959908658266277
AKL,2040,OCGT,Elec,upperLimit,200.0
AKL,2040,pv_central_fixed,Elec,upperLimit,542.00451
AKL,2040,pv_central_track_azimuth,Elec,total,1.6644806327046615
AKL,2040,pv_central_track_azimuth,Elec,upperLimit,542.00451
AKL,2040,pv_decentral,Elec,upperLimit,6.607590000000001
AKL,2040,wind_offshore_floating,Elec,upperLimit,104.16609
AKL,2040,wind_offshore_foundation,Elec,upperLimit,37.69296
AKL,2040,wind_onshore,Elec,total,0.8384085369413267
AKL,2040,wind_onshore,Elec,upperLimit,22.70751
AKL,2050,BIO,Elec,upperLimit,100.0
AKL,2050,CCGT,Elec,build,0.5295756702759578
AKL,2050,CCGT,Elec,total,2.0044199454005476
AKL,2050,CCGT,Elec,upperLimit,100.0
AKL,2050,COAL,Elec,upperLimit,100.0
AKL,2050,DIE,Elec,upperLimit,100.0
AKL,2050,GT,Elec,upperLimit,100.0
AKL,2050,OCGT,Elec,build,0.03396499510464846
AKL,2050,OCGT,Elec,total,0.9299558609229093
AKL,2050,OCGT,Elec,upperLimit,100.0
AKL,2050,pv_central_fixed,Elec,upperLimit,722.67268
AKL,2050,pv_central_track_azimuth,Elec,build,1.0895867383127131
AKL,2050,pv_central_track_azimuth,Elec,total,2.754067367529893
AKL,2050,pv_central_track_azimuth,Elec,upperLimit,722.67268
AKL,2050,pv_decentral,Elec,upperLimit,8.810120000000001
AKL,2050,wind_offshore_floating,Elec,upperLimit,104.16609
AKL,2050,wind_offshore_foundation,Elec,upperLimit,37.69296
AKL,2050,wind_onshore,Elec,total,0.8384201227960195
AKL,2050,wind_onshore,Elec,upperLimit,22.70751
BOP,1966,GT,Elec,build,0.037
BOP,1966,GT,Elec,total,0.037
BOP,1981,GT,Elec,total,0.037
BOP,1983,GT,Elec,total,0.037
BOP,1989,GT,Elec,total,0.037
BOP,1989,geoth,Elec,total,0.014
BOP,1992,GT,Elec,total,0.037
BOP,1992,geoth,Elec,total,0.014
BOP,1993,GT,Elec,total,0.037
BOP,1993,geoth,Elec,total,0.014
BOP,1994,GT,Elec,total,0.037
BOP,1994,geoth,Elec,total,0.014
BOP,1996,GT,Elec,total,0.037
BOP,1996,geoth,Elec,total,0.014
BOP,1997,GT,Elec,total,0.037
BOP,1997,geoth,Elec,total,0.014
BOP,1998,GT,Elec,total,0.037
BOP,1998,geoth,Elec,total,0.014
BOP,1999,GT,Elec,total,0.037
BOP,1999,geoth,Elec,total,0.014
BOP,2000,GT,Elec,total,0.037
BOP,2000,Hydro,Elec,build,0.17095
BOP,2000,Hydro,Elec,total,0.17095
BOP,2000,Hydro,Water_out,build,17.095
BOP,2000,Hydro,Water_out,total,17.095
BOP,2000,geoth,Elec,total,0.014
BOP,2003,GT,Elec,total,0.037
BOP,2003,Hydro,Elec,total,0.17095
BOP,2003,Hydro,Water_out,total,17.095
BOP,2003,geoth,Elec,total,0.014
BOP,2004,GT,Elec,total,0.037
BOP,2004,Hydro,Elec,total,0.17095
BOP,2004,Hydro,Water_out,total,17.095
BOP,2004,geoth,Elec,total,0.014
BOP,2005,GT,Elec,total,0.037
BOP,2005,Hydro,Elec,total,0.17095
BOP,2005,Hydro,Water_out,total,17.095
BOP,2005,geoth,Elec,total,0.014
BOP,2007,GT,Elec,total,0.037
BOP,2007,Hydro,Elec,total,0.17095
BOP,2007,Hydro,Water_out,total,17.095
BOP,2007,geoth,Elec,total,0.014
BOP,2008,GT,Elec,total,0.037
BOP,2008,Hydro,Elec,total,0.17095
BOP,2008,Hydro,Water_out,total,17.095
BOP,2008,geoth,Elec,build,0.115
BOP,2008,geoth,Elec,total,0.129
BOP,2009,GT,Elec,total,0.037
BOP,2009,Hydro,Elec,total,0.17095
BOP,2009,Hydro,Water_out,total,17.095
BOP,2009,geoth,Elec,total,0.129
BOP,2010,GT,Elec,total,0.037
BOP,2010,Hydro,Elec,total,0.17095
BOP,2010,Hydro,Water_out,total,17.095
BOP,2010,geoth,Elec,total,0.129
BOP,2011,GT,Elec,total,0.037
BOP,2011,Hydro,Elec,total,0.17095
BOP,2011,Hydro,Water_out,total,17.095
BOP,2011,geoth,Elec,total,0.129
BOP,2013,GT,Elec,total,0.037
BOP,2013,Hydro,Elec,total,0.17095
BOP,2013,Hydro,Water_out,total,17.095
BOP,2013,geoth,Elec,build,0.021
BOP,2013,geoth,Elec,total,0.15
BOP,2014,GT,Elec,total,0.037
BOP,2014,Hydro,Elec,total,0.17095
BOP,2014,Hydro,Water_out,total,17.095
BOP,2014,geoth,Elec,total,0.15
BOP,2015,GT,Elec,total,0.037
BOP,2015,Hydro,Elec,total,0.17095
BOP,2015,Hydro,Water_out,total,17.095
BOP,2015,geoth,Elec,total,0.15
BOP,2018,GT,Elec,total,0.037
BOP,2018,Hydro,Elec,total,0.17095
BOP,2018,Hydro,Water_out,total,17.095
BOP,2018,geoth,Elec,build,0.025
BOP,2018,geoth,Elec,total,0.175
BOP,2020,BIO,Elec,upperLimit,100.0
BOP,2020,Battery,Elec,upperLimit,50.0
BOP,2020,Battery,Elec_battery,upperLimit,48.75
BOP,2020,CCGT,Elec,upperLimit,100.0
BOP,2020,COAL,Elec,upperLimit,100.0
BOP,2020,DIE,Elec,upperLimit,100.0
BOP,2020,GT,Elec,decom,0.037
BOP,2020,GT,Elec,upperLimit,100.0
BOP,2020,Hydro,Elec,total,0.17095
BOP,2020,Hydro,Water_out,total,17.095
BOP,2020,OCGT,Elec,upperLimit,100.0
BOP,2020,geoth,Elec,total,0.175
BOP,2020,geoth,Elec,upperLimit,100.0
BOP,2020,pv_central_fixed,Elec,upperLimit,237.96793
BOP,2020,pv_central_track_azimuth,Elec,upperLimit,237.94021
BOP,2020,pv_decentral,Elec,upperLimit,0.56348
BOP,2020,wind_offshore_floating,Elec,upperLimit,21.89748
BOP,2020,wind_offshore_foundation,Elec,upperLimit,5.5911800000000005
BOP,2020,wind_onshore,Elec,upperLimit,11.39598
BOP,2030,BIO,Elec,upperLimit,200.0
BOP,2030,CCGT,Elec,build,0.05536758993242829
BOP,2030,CCGT,Elec,total,0.05536758993242829
BOP,2030,CCGT,Elec,upperLimit,200.0
BOP,2030,COAL,Elec,upperLimit,200.0
BOP,2030,DIE,Elec,upperLimit,200.0
BOP,2030,GT,Elec,upperLimit,200.0
BOP,2030,Hydro,Elec,total,0.17095
BOP,2030,Hydro,Water_out,total,17.095
BOP,2030,OCGT,Elec,build,0.026470348091868375
BOP,2030,OCGT,Elec,total,0.026470348091868375
BOP,2030,OCGT,Elec,upperLimit,200.0
BOP,2030,geoth,Elec,total,0.175
BOP,2030,geoth,Elec,upperLimit,100.0
BOP,2030,pv_central_fixed,Elec,upperLimit,475.93586
BOP,2030,pv_central_track_azimuth,Elec,build,0.4394145530481487
BOP,2030,pv_central_track_azimuth,Elec,total,0.4394145530481487
BOP,2030,pv_central_track_azimuth,Elec,upperLimit,475.88042
BOP,2030,pv_decentral,Elec,upperLimit,1.12696
BOP,2030,wind_offshore_floating,Elec,upperLimit,43.79496
BOP,2030,wind_offshore_foundation,Elec,upperLimit,11.182360000000001
BOP,2030,wind_onshore,Elec,build,0.036883479356713406
BOP,2030,wind_onshore,Elec,total,0.036883479356713406
BOP,2030,wind_onshore,Elec,upperLimit,22.79196
BOP,2040,BIO,Elec,upperLimit,200.0
BOP,2040,CCGT,Elec,build,0.14843652229903043
BOP,2040,CCGT,Elec,total,0.20380411223027267
BOP,2040,CCGT,Elec,upperLimit,200.0
BOP,2040,COAL,Elec,upperLimit,200.0
BOP,2040,DIE,Elec,upperLimit,200.0
BOP,2040,GT,Elec,upperLimit,200.0
BOP,2040,Hydro,Elec,total,0.17095
BOP,2040,Hydro,Water_out,total,17.095
BOP,2040,OCGT,Elec,build,0.15346536804199074
BOP,2040,OCGT,Elec,total,0.17993571613198187
BOP,2040,OCGT,Elec,upperLimit,200.0
BOP,2040,geoth,Elec,total,0.175
BOP,2040,geoth,Elec,upperLimit,100.0
